Year,Month,modern,Tmp,Rain,Evap,C_inp,FYM,PC,DPM_RPM,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
2013,6,96.25,16.352145833333335,70.49800000000002,11.19133997993652,0.2840980206213143,0,1,1.6,0.2902625531150687,4.060881187949443,0.4909277778417888,18.24555012420252,2.25,25.337621643108815,-125.74917253923788
2013,7,96.29,23.17917338709677,14.342,20.0299640222732,0.347260962603808,0,0,1.6,0.2301875650120435,3.859640373223018,0.4856281729211823,18.234356501096663,2.25,25.059812612252905,-126.72777066950904
2013,8,96.21,21.27396505376344,6.262,16.935033469988525,0.3347066254111706,0,0,0.8,0.166610740671468,3.7606116322866,0.4764637324851765,18.21911542002536,2.25,24.872801525468603,-127.40800009880073
2013,9,95.95,18.560125000000006,21.614,10.112126277815598,0.2829052530392546,0,0,0.8,0.1456813761265238,3.685773234769593,0.4657357161067801,18.20245762091425,2.25,24.749647947917147,-127.89015410940452
2013,10,95.85,15.281229166666662,29.49200000000001,5.138513441557693,0.3041737457251488,0,1,0.8,0.1901995978061267,3.748631083554087,0.4627334316780022,18.19754996897376,2.25,24.849114082011976,-127.57484355377156
2013,11,95.75,8.6383125,58.37800000000001,1.7507216022650245,0.1720407819253944,0,1,0.8,0.1969766321420509,3.793243071402967,0.4640285217135236,18.19858605907003,2.25,24.902834284328573,-127.41398523710068
2013,12,95.65,4.50071438172043,24.644,1.0239302610155183,0.2396402436923536,0,1,0.8,0.2637727403388299,3.900841790171925,0.4651726664663729,18.19977098482075,2.25,25.07955818179788,-126.84028106930624
2014,1,96.7,6.91567069892473,47.46999999999999,1.204074926460118,0.2009009805121758,0,0,0.8,0.2364705868126819,3.9447722510095455,0.4697975166014704,18.20460353965937,2.25,25.10564389408307,-126.6990513982258
2014,2,96.6,6.58740625,21.008,2.8829947198245063,0.2380089768330595,0,0,0.8,0.2418999815998922,4.012177021448073,0.4730896886814458,18.20811179254763,2.25,25.18527848427704,-126.38547133656132
2014,3,96.5,9.62048185483871,56.964000000000006,6.86465149903837,0.1606399639063098,0,1,0.8,0.214812593103649,4.038989216379592,0.4765467995449629,18.2119776834281,2.25,25.192326292456304,-126.3531853796872
2014,4,96.4,13.987634722222223,35.956,10.002549464589572,0.3256622264692592,0,1,1.6,0.2911169694984075,4.061122268669412,0.4785433021781316,18.213889210486588,2.25,25.29467175083254,-125.98392538211743
2014,5,96.3,14.3497063172043,34.541999999999994,13.562539885344876,0.2970674807530751,0,1,1.6,0.3020070250041365,4.06803143278425,0.4849028623924932,18.22100655365454,2.25,25.325947873835418,-125.88093600783634
2014,6,96.2,19.332048611111112,58.776,17.57822577248064,0.3232992562808431,0,1,1.6,0.2774976775327283,4.031290233631058,0.4909062073921646,18.227454787028183,2.25,25.27714890558413,-126.06624059538252
2014,7,96.1,20.24127688172043,44.440000000000005,16.297386583329878,0.2729671814583314,0,0,1.6,0.193407860671854,3.857357600525922,0.4878829605404902,18.221082252484035,2.25,25.0097306742223,-127.02560295998124
2014,8,96.0,20.653084677419347,25.652,16.231042991816366,0.2940407339196068,0,0,0.8,0.1472702470081022,3.746691836346938,0.4758797429063315,18.20341178244361,2.25,24.823253608704977,-127.71627701215816
2014,9,95.9,19.8963125,55.95400000000001,11.274706156577407,0.2757368659467457,0,0,0.8,0.1368121706179913,3.646442634379543,0.4615760023885275,18.1815968042898,2.25,24.676427611675862,-128.2775157715156
2014,10,95.8,16.34316061827957,32.724000000000004,5.856919948737396,0.3270421755612899,0,1,0.8,0.1923435935403929,3.713084523713461,0.4575181189654705,18.17491576041121,2.25,24.78786199663053,-127.92116185534186
2014,11,95.7,10.134520833333331,99.78800000000004,1.310402194573081,0.1844356897702861,0,1,0.8,0.1919342403674309,3.753784138712548,0.4589557212572913,18.175749067322503,2.25,24.830423167659777,-127.80089524036708
2014,12,95.6,6.601987231182795,42.42,1.299341713877795,0.2204552556002773,0,1,0.8,0.2356631674987623,3.839035034543444,0.4602963913055629,18.17693511587157,2.25,24.96192970921934,-127.38070358007992
2015,1,96.65,5.466074596774193,46.46,1.8144281308326669,0.1863670449011061,0,0,0.8,0.2327021262360794,3.890795911086749,0.4634224579021509,18.18006085607937,2.25,25.01698135130435,-127.14336162601404
2015,2,96.55,4.554815476190476,64.034,1.5026517635048493,0.1547574291740271,0,0,0.8,0.2280172774180079,3.932741688607479,0.4661668618326994,18.182946067983803,2.25,25.05987189584199,-126.97231228666972
2015,3,96.45,9.500137768817202,88.678,5.734016981536264,0.1922050132399478,0,1,0.8,0.2217457700919668,3.9792972930569,0.469131433268254,18.18599636411843,2.25,25.106170860535556,-126.79506726752533
