Year,Month,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
2018,5,0.20555128264531264,3.0121194433585203,0.34412379528181714,14.371060472690967,2.25,20.18285499397662,-232.09940994332868
2018,6,0.1479747919816254,2.959737002113958,0.3486638109536606,14.37219964424736,2.25,20.078575249296605,-232.6269445882545
2018,7,0.1481197155100205,2.9029446357699937,0.34730855732733207,14.365696225966401,2.25,20.01406913457375,-232.96473271160255
2018,8,0.11791702853746697,2.896309161166169,0.3456094410839862,14.358443050863315,2.25,19.968278681650936,-233.19909615414002
2018,9,0.1279437501322801,2.9240196462512267,0.34274485191448856,14.35066494880335,2.25,19.995373197101344,-233.1035225396879
2018,10,0.13692252182677786,2.9731939281059643,0.342985758647012,14.348578815465078,2.25,20.051681024044832,-232.86178729786934
2018,11,0.1212124983634055,2.9856403322704264,0.3441510993070699,14.34869583005572,2.25,20.04969975999662,-232.89406539686343
2018,12,0.10982756030279642,2.997702958495153,0.3443636943503051,14.347050245693975,2.25,20.04894445884223,-232.93117870909617
2019,1,0.09954142948141398,3.0022930242608754,0.34445439281754714,14.345919238065145,2.25,20.04220808462498,-232.9427814080891
2019,2,0.07699966698723844,2.9814828175348924,0.3437375978098709,14.343366725579605,2.25,19.995586807911607,-233.165389008937
2019,3,0.07909377395547569,2.9715654375449305,0.3406973216849808,14.337116342404851,2.25,19.97847287559024,-233.23518605127558
2019,4,0.1693192450536539,3.002828038322887,0.3391223440999737,14.333421364675782,2.25,20.094690992152298,-232.6471689005526
2019,5,0.2133207679510782,3.023415361234175,0.3420371011418017,14.334048367133754,2.25,20.16282159746081,-232.31450160820333
2019,6,0.18558453804547403,2.9884378645200775,0.3470956421169756,14.335087191640707,2.25,20.106205236323234,-232.60622502819072
2019,7,0.1264586736334371,2.9044759157854374,0.3486636428249461,14.331542873848779,2.25,19.961141106092597,-233.34038409882496
2019,8,0.10780142155025467,2.889216442558395,0.3451301421064512,14.32244408783035,2.25,19.91459209404545,-233.57937864008483
2019,9,0.11729485382792515,2.9115776537187754,0.3422789975712911,14.315390873824708,2.25,19.9365423789427,-233.50514090835094
2019,10,0.1335281040968318,2.9608049636666527,0.341446421332141,14.311547119967159,2.25,19.997326609062785,-233.2441882572722
2019,11,0.11175301671352253,2.961435013700474,0.34249960594645734,14.31159170051331,2.25,19.977279336873764,-233.36108407417566
2019,12,0.10432695433595808,2.9728797272101506,0.3423844101356244,14.309719641777303,2.25,19.979310733459037,-233.38279591330902
2020,1,0.09254198034151365,2.971703772141165,0.34239006972844394,14.308650306712314,2.25,19.965286128923438,-233.4373333362967
2020,2,0.07229991912587375,2.9448004388012294,0.34057700588712514,14.304028801400065,2.25,19.911706165214294,-233.68807051443153
2020,3,0.07405441091151457,2.934509535155683,0.33769575816348224,14.29811212006791,2.25,19.89437182429859,-233.76631921812418
2020,4,0.15709331725871273,2.9537590797617717,0.3355088191452936,14.293243589002602,2.25,19.98960480516838,-233.27981265368825
2020,5,0.1531825385435709,2.922832971414774,0.3372289023212274,14.290990376703428,2.25,19.954234788983,-233.4611900178999
2020,6,0.15722184690818286,2.8934669235743993,0.338285640537025,14.287856307437604,2.25,19.92683071845721,-233.60914641012
2020,7,0.13254666068867443,2.826185818882526,0.3381716337638863,14.281736290790821,2.25,19.828640404125906,-234.1054929326537
2020,8,0.10971133825758994,2.818174694480255,0.33597076561400613,14.273384519256938,2.25,19.78724131760879,-234.3419381899805
2020,9,0.11534379669065568,2.8380319761553876,0.33346540562529503,14.265824612991322,2.25,19.802665791462662,-234.29614527033382
2020,10,0.15252448007448685,2.9211607073663233,0.33338053633012255,14.263166491501616,2.25,19.92023221527255,-233.75281493202326
2020,11,0.11820118052016114,2.9179760940665194,0.3354049647343876,14.263849599539984,2.25,19.885431838861052,-233.94285116091885
2020,12,0.10208987292254773,2.9207591246036344,0.33592890075582976,14.26283086723828,2.25,19.871608765520293,-234.0357051071147
